category,score_type,value
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,10.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,10.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,6.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,10.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,10.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,10.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,6.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,10.0
conversation,gpt4_scores,10.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,9.0
conversation,gpt4_scores,8.0
conversation,gpt4_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,6.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,5.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,6.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,3.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,9.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,7.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,7.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,7.0
conversation,pred_scores,6.0
conversation,pred_scores,7.0
conversation,pred_scores,6.0
conversation,pred_scores,8.0
conversation,pred_scores,6.0
conversation,pred_scores,6.0
conversation,relative_scores,75.0
conversation,relative_scores,66.66666666666666
conversation,relative_scores,75.0
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,77.77777777777779
conversation,relative_scores,66.66666666666666
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,62.5
conversation,relative_scores,88.88888888888889
conversation,relative_scores,87.5
conversation,relative_scores,77.77777777777779
conversation,relative_scores,80.0
conversation,relative_scores,77.77777777777779
conversation,relative_scores,66.66666666666666
conversation,relative_scores,88.88888888888889
conversation,relative_scores,75.0
conversation,relative_scores,66.66666666666666
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,66.66666666666666
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,80.0
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,66.66666666666666
conversation,relative_scores,66.66666666666666
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,75.0
conversation,relative_scores,87.5
conversation,relative_scores,88.88888888888889
conversation,relative_scores,33.33333333333333
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,66.66666666666666
conversation,relative_scores,88.88888888888889
conversation,relative_scores,66.66666666666666
conversation,relative_scores,75.0
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,133.33333333333331
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,80.0
conversation,relative_scores,112.5
conversation,relative_scores,75.0
conversation,relative_scores,66.66666666666666
conversation,relative_scores,66.66666666666666
conversation,relative_scores,60.0
conversation,relative_scores,66.66666666666666
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,77.77777777777779
conversation,relative_scores,75.0
conversation,relative_scores,88.88888888888889
conversation,relative_scores,75.0
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,77.77777777777779
conversation,relative_scores,75.0
conversation,relative_scores,66.66666666666666
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,75.0
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,66.66666666666666
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,80.0
conversation,relative_scores,75.0
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,87.5
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,77.77777777777779
conversation,relative_scores,66.66666666666666
conversation,relative_scores,66.66666666666666
conversation,relative_scores,133.33333333333331
conversation,relative_scores,66.66666666666666
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,80.0
conversation,relative_scores,80.0
conversation,relative_scores,77.77777777777779
conversation,relative_scores,88.88888888888889
conversation,relative_scores,66.66666666666666
conversation,relative_scores,66.66666666666666
conversation,relative_scores,66.66666666666666
conversation,relative_scores,88.88888888888889
conversation,relative_scores,66.66666666666666
conversation,relative_scores,88.88888888888889
conversation,relative_scores,88.88888888888889
conversation,relative_scores,75.0
conversation,relative_scores,87.5
conversation,relative_scores,66.66666666666666
conversation,relative_scores,77.77777777777779
conversation,relative_scores,66.66666666666666
conversation,relative_scores,88.88888888888889
conversation,relative_scores,75.0
conversation,relative_scores,75.0
histology,gpt4_scores,8.0
histology,gpt4_scores,9.0
histology,gpt4_scores,8.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,10.0
histology,gpt4_scores,9.0
histology,gpt4_scores,10.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,8.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,10.0
histology,gpt4_scores,10.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,gpt4_scores,9.0
histology,pred_scores,6.0
histology,pred_scores,6.0
histology,pred_scores,6.0
histology,pred_scores,7.0
histology,pred_scores,7.0
histology,pred_scores,8.0
histology,pred_scores,7.0
histology,pred_scores,8.0
histology,pred_scores,7.0
histology,pred_scores,8.0
histology,pred_scores,7.0
histology,pred_scores,7.0
histology,pred_scores,8.0
histology,pred_scores,7.0
histology,pred_scores,8.0
histology,pred_scores,6.0
histology,pred_scores,8.0
histology,pred_scores,6.0
histology,pred_scores,6.0
histology,pred_scores,8.0
histology,pred_scores,8.0
histology,pred_scores,7.0
histology,pred_scores,7.0
histology,pred_scores,7.0
histology,pred_scores,7.0
histology,pred_scores,8.0
histology,pred_scores,7.0
histology,pred_scores,8.0
histology,pred_scores,8.0
histology,pred_scores,8.0
histology,pred_scores,6.0
histology,pred_scores,7.0
histology,pred_scores,6.0
histology,pred_scores,6.0
histology,pred_scores,7.0
histology,pred_scores,7.0
histology,pred_scores,7.0
histology,pred_scores,7.0
histology,pred_scores,6.0
histology,pred_scores,6.0
histology,pred_scores,7.0
histology,pred_scores,8.0
histology,pred_scores,7.0
histology,pred_scores,7.0
histology,relative_scores,75.0
histology,relative_scores,66.66666666666666
histology,relative_scores,75.0
histology,relative_scores,77.77777777777779
histology,relative_scores,77.77777777777779
histology,relative_scores,88.88888888888889
histology,relative_scores,77.77777777777779
histology,relative_scores,80.0
histology,relative_scores,77.77777777777779
histology,relative_scores,80.0
histology,relative_scores,77.77777777777779
histology,relative_scores,77.77777777777779
histology,relative_scores,88.88888888888889
histology,relative_scores,77.77777777777779
histology,relative_scores,88.88888888888889
histology,relative_scores,66.66666666666666
histology,relative_scores,88.88888888888889
histology,relative_scores,66.66666666666666
histology,relative_scores,75.0
histology,relative_scores,88.88888888888889
histology,relative_scores,88.88888888888889
histology,relative_scores,77.77777777777779
histology,relative_scores,77.77777777777779
histology,relative_scores,77.77777777777779
histology,relative_scores,77.77777777777779
histology,relative_scores,88.88888888888889
histology,relative_scores,77.77777777777779
histology,relative_scores,88.88888888888889
histology,relative_scores,80.0
histology,relative_scores,80.0
histology,relative_scores,66.66666666666666
histology,relative_scores,77.77777777777779
histology,relative_scores,66.66666666666666
histology,relative_scores,66.66666666666666
histology,relative_scores,77.77777777777779
histology,relative_scores,77.77777777777779
histology,relative_scores,77.77777777777779
histology,relative_scores,77.77777777777779
histology,relative_scores,66.66666666666666
histology,relative_scores,66.66666666666666
histology,relative_scores,77.77777777777779
histology,relative_scores,88.88888888888889
histology,relative_scores,77.77777777777779
histology,relative_scores,77.77777777777779
ct_scan,gpt4_scores,9.0
ct_scan,gpt4_scores,9.0
ct_scan,gpt4_scores,9.0
ct_scan,gpt4_scores,9.0
ct_scan,gpt4_scores,9.0
ct_scan,gpt4_scores,9.0
